product_id,title,price,image_url,url,local_image_path,garment_code,occasion_scores,boldness_scores,color_scores,formality_scores
1,Blue Mid Rise Bootcut Pants,₹849,https://assets.newme.asia/wp-content/uploads/2026/04/21130251db818835/NM-PRC-345-TRS-26-MAR-32381-BLUE(0).webp,https://newme.asia/product/blue-mid-rise-bootcut-pants,product_images/0.jpg,TRS,"{""casual everyday wear"": 0.2455, ""party outfit"": 0.1, ""wedding guest outfit"": 0.0091, ""office wear"": 0.4818, ""date night outfit"": 0.1545, ""beach vacation outfit"": 0.0091}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.3058, ""semi formal outfit"": 0.4298, ""casual informal outfit"": 0.2645}"
2,Off White Striped Maxi Dress,₹999,https://assets.newme.asia/wp-content/uploads/2026/03/1715592685b4dd97/NM-PRC-178-DRS-26-MAR-31596-OFFWHITE(1).webp,https://newme.asia/product/off-white-striped-maxi-dress,product_images/1.jpg,DRS,"{""casual everyday wear"": 0.0962, ""party outfit"": 0.1859, ""wedding guest outfit"": 0.3141, ""office wear"": 0.0064, ""date night outfit"": 0.2372, ""beach vacation outfit"": 0.1603}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0417, ""bright bold colors"": 0.0417, ""dark moody colors"": 0.0417, ""neutral minimal colors"": 0.875}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
3,White Polka Dot One Shoulder Top,₹549,https://assets.newme.asia/wp-content/uploads/2026/03/1814131481d17570/NM-PRC-391-BLS-26-MAR-31666-WHITE(1).webp,https://newme.asia/product/white-polka-dot-one-shoulder-top,product_images/2.jpg,BLS,"{""casual everyday wear"": 0.2063, ""party outfit"": 0.3312, ""wedding guest outfit"": 0.0688, ""office wear"": 0.1188, ""date night outfit"": 0.2687, ""beach vacation outfit"": 0.0063}","{""subtle and understated outfit"": 0.0652, ""bold and loud statement outfit"": 0.9348}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.7857}","{""very formal outfit"": 0.1718, ""semi formal outfit"": 0.4141, ""casual informal outfit"": 0.4141}"
4,Red Draped Detail Mini Dress,₹749,https://assets.newme.asia/wp-content/uploads/2025/05/171834445a6b7ead/NM-IN-56-DRS-24-DEC-13851-DARKBROWN(1)_c.webp,https://newme.asia/product/red-draped-detail-mini-dress,product_images/3.jpg,DRS,"{""casual everyday wear"": 0.1442, ""party outfit"": 0.2788, ""wedding guest outfit"": 0.2404, ""office wear"": 0.0096, ""date night outfit"": 0.2404, ""beach vacation outfit"": 0.0865}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
5,Black Floral V-Neck Mini Dress,₹1149,https://assets.newme.asia/wp-content/uploads/2025/12/20141302005069d8/NM-PRC-385-DRS-25-DEC-28872-BLACK(1).webp,https://newme.asia/product/black-floral-v-neck-mini-dress-4,product_images/4.jpg,DRS,"{""casual everyday wear"": 0.121, ""party outfit"": 0.2339, ""wedding guest outfit"": 0.2016, ""office wear"": 0.0081, ""date night outfit"": 0.2661, ""beach vacation outfit"": 0.1694}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
6,Maroon One Shoulder Ruched Maxi Dress,₹729,https://assets.newme.asia/wp-content/uploads/2026/01/14125603a1b4688e/NM-IN-56-DRS-25-JUL-20853-MAROON(1).webp,https://newme.asia/product/maroon-one-shoulder-ruched-maxi-dress,product_images/5.jpg,DRS,"{""casual everyday wear"": 0.0743, ""party outfit"": 0.2723, ""wedding guest outfit"": 0.2426, ""office wear"": 0.005, ""date night outfit"": 0.2822, ""beach vacation outfit"": 0.1238}","{""subtle and understated outfit"": 0.0652, ""bold and loud statement outfit"": 0.9348}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
7,Maroon Lace Bodycon Maxi Dress,₹1799,https://assets.newme.asia/wp-content/uploads/2025/11/13165048d0dd9835/NM-PRC-119-DRS-25-NOV-26550-MAROON(1).webp,https://newme.asia/product/maroon-lace-bodycon-maxi-dress,product_images/6.jpg,DRS,"{""casual everyday wear"": 0.0636, ""party outfit"": 0.3347, ""wedding guest outfit"": 0.2076, ""office wear"": 0.0042, ""date night outfit"": 0.2839, ""beach vacation outfit"": 0.1059}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1915, ""semi formal outfit"": 0.5816, ""casual informal outfit"": 0.227}"
8,Black Pu Slit Bodycon Skirt,₹759,https://assets.newme.asia/wp-content/uploads/2025/11/14143607fdad3cdf/NM-PRC-356-SKT-25-NOV-26617-BLACK(1).webp,https://newme.asia/product/black-pu-slit-bodycon-skirt,product_images/7.jpg,SKT,"{""casual everyday wear"": 0.1262, ""party outfit"": 0.4533, ""wedding guest outfit"": 0.0047, ""office wear"": 0.0888, ""date night outfit"": 0.3224, ""beach vacation outfit"": 0.0047}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1461, ""semi formal outfit"": 0.5768, ""casual informal outfit"": 0.2772}"
9,Yellow Floral A-Line Maxi Dress,₹1099,https://assets.newme.asia/wp-content/uploads/2026/04/021348591258e001/NM-PRC-414-DRS-26-APR-32495-YELLOW(1).webp,https://newme.asia/product/yellow-floral-a-line-maxi-dress,product_images/8.jpg,DRS,"{""casual everyday wear"": 0.0852, ""party outfit"": 0.1648, ""wedding guest outfit"": 0.2784, ""office wear"": 0.0057, ""date night outfit"": 0.2557, ""beach vacation outfit"": 0.2102}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
10,Brown Solid V-Neck Top,₹849,https://assets.newme.asia/wp-content/uploads/2026/03/161047038e85156d/NM-PRC-312-BLS-26-JAN-30706-BROWN(1).webp,https://newme.asia/product/brown-solid-v-neck-top-4,product_images/9.jpg,BLS,"{""casual everyday wear"": 0.2895, ""party outfit"": 0.2368, ""wedding guest outfit"": 0.0965, ""office wear"": 0.1667, ""date night outfit"": 0.2018, ""beach vacation outfit"": 0.0088}","{""subtle and understated outfit"": 0.8846, ""bold and loud statement outfit"": 0.1154}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1579, ""semi formal outfit"": 0.4615, ""casual informal outfit"": 0.3806}"
