prompt,occasion,formality,constraint,color_tone,occasion_soft,formality_soft,constraint_soft,color_tone_soft,split,source
capsule wardrobe for a girl who wears all black everything,casual,casual,understated,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
garden party guest dress that isn't giving mother of the bride,party,semi-formal,no_constraint,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"going to a friend's birthday dinner at a trendy restaurant, something Instagram worthy",party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
New Year's Eve party dress that's timeless not costume-y,party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
work from home outfits that still make me feel like I'm not giving up on myself,office,casual,understated,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
what to wear to a rooftop wedding with a dress code of garden chic,wedding,semi-formal,no_constraint,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"birthday going out outfit, it's my birthday and I want to look iconic",party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
what do I wear to a Beyoncé concert that's a full fit not just a tee,party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"hyper-feminine date night look, very Sofia Richie but younger and more fun",date,semi-formal,understated,soft,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
what to wear to a work conference when you want to be remembered,office,formal,bold,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
"something to wear to watch the rugby with his friends, casual but still pretty",casual,casual,no_constraint,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"going to see a Taylor Swift tribute band, not cringe but still fun",party,casual,no_constraint,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"autumn wedding guest, jewel tones and drama but not over the top",wedding,formal,bold,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"girls trip to Amsterdam looks, walkable cute, club ready by night",casual,casual,bold,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"soft feminine date look, meeting his friends for the first time",date,casual,understated,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
black tie party look that's actually wearable and not just a costume,party,formal,understated,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"cocktail party look, I want to look expensive without spending a lot",party,formal,no_constraint,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"birthday dinner at a nice restaurant, semi-formal but still fun energy",party,semi-formal,understated,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
"something casual for a daytime garden party, not a dress not just jeans",party,casual,understated,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"winter formal wedding, need something warm but still wedding-level dressy",wedding,formal,understated,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
what to wear to a formal Indian wedding as a non-Indian guest,wedding,formal,no_constraint,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"semi-formal boho wedding look, floaty and free but still put together",wedding,semi-formal,no_constraint,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
