prompt,occasion,formality,constraint,color_tone,occasion_encoded,formality_encoded,constraint_encoded,color_tone_encoded
"going to my ex's wedding as a guest, need to look stunning but not try-hard",wedding,semi-formal,understated,soft,4,2,3,3
y2k party outfit that screams early 2000s vibes but make it fashion,party,casual,bold,bright,3,0,0,0
"first date at a rooftop bar, cool but effortless not trying too hard",date,semi-formal,no_constraint,neutral,1,2,2,2
something to wear to a rave that's also an outfit and not just a bra,party,casual,bold,dark,3,0,0,1
capsule wardrobe for a girl who wears all black everything,casual,casual,understated,dark,0,0,3,1
garden party guest dress that isn't giving mother of the bride,party,semi-formal,no_constraint,soft,3,2,2,3
"soft launch date outfit, coffee shop, don't wanna look like I tried",date,casual,understated,neutral,1,0,3,2
"something to wear clubbing in Berlin, no dress code, anything goes",party,casual,bold,dark,3,0,0,1
going out top for a bachelorette party that's fun but not embarrassing in photos,party,casual,no_constraint,bright,3,0,2,0
"date night at a fancy restaurant, classic and chic, no crop tops",date,semi-formal,understated,neutral,1,2,3,2
quiet luxury office looks that say I'm very senior without saying it,office,semi-formal,understated,neutral,2,2,3,2
something to wear to a music festival that's actually practical,party,casual,no_constraint,bright,3,0,2,0
coastal grandmother vibes but make it wearable for a 23 year old,casual,casual,understated,soft,0,0,3,3
"date fit for a guy who takes you to an art gallery, very that girl",date,semi-formal,understated,neutral,1,2,3,2
bridesmaid dress that doesn't look like a bridesmaid dress,wedding,formal,no_constraint,soft,4,1,2,3
office party outfit you can wear from desk to drinks,office,semi-formal,no_constraint,neutral,2,2,2,2
"going to a themed 70s disco party, need full outfit not just vibes",party,casual,bold,bright,3,0,0,0
"something cute to wear to my boyfriend's family dinner, sweet but not basic",date,semi-formal,understated,soft,1,2,3,3
"summer wedding guest in the middle of a heat wave, midi length please",wedding,semi-formal,understated,bright,4,2,3,0
"going to a friend's birthday dinner at a trendy restaurant, something Instagram worthy",party,semi-formal,bold,bright,3,2,0,0
"daytime casual look for hanging with friends, comfy but make it fashion",casual,casual,no_constraint,neutral,0,0,2,2
hot girl walk outfit that's actually warm because it's winter,casual,casual,bold,dark,0,0,0,1
"anniversary dinner outfit, romantic and feminine, little black dress alternative",date,formal,no_constraint,dark,1,1,2,1
what to wear to a black tie wedding as a guest if I hate formal dresses,wedding,formal,bold,dark,4,1,0,1
"presentation day work outfit, need to feel powerful and confident",office,formal,bold,neutral,2,1,0,2
"grunge aesthetic going out fit for a dive bar, not a costume just vibes",party,casual,bold,dark,3,0,0,1
"picnic date look, cottagecore light but still cute if we end up somewhere nice",date,casual,no_constraint,soft,1,0,2,3
"sister's baby shower outfit, sweet and put together, not too much",party,semi-formal,understated,soft,3,2,3,3
fall casual OOTD that's basically a cozy hug you can wear outside,casual,casual,understated,neutral,0,0,3,2
New Year's Eve party dress that's timeless not costume-y,party,semi-formal,bold,bright,3,2,0,0
casual Sunday look for brunch that still looks like I have my life together,casual,casual,understated,soft,0,0,3,3
"first date to a bowling alley, cute but can actually move around",date,casual,no_constraint,bright,1,0,2,0
"spring wedding guest dress, floral but not in a basic way",wedding,semi-formal,no_constraint,soft,4,2,2,3
"editorial going out look, something a fashion girl would wear not just anyone",party,semi-formal,bold,dark,3,2,0,1
work from home outfits that still make me feel like I'm not giving up on myself,office,casual,understated,soft,2,0,3,3
"something to wear to an outdoor concert, not muddy, not boring",casual,casual,bold,bright,0,0,0,0
what to wear to a rooftop wedding with a dress code of garden chic,wedding,semi-formal,no_constraint,bright,4,2,2,0
"third date energy, we're going to a jazz bar, sophisticated but fun",date,semi-formal,no_constraint,dark,1,2,2,1
"birthday going out outfit, it's my birthday and I want to look iconic",party,semi-formal,bold,bright,3,2,0,0
something to wear to a gallery opening that doesn't scream art hoe but appreciates it,party,semi-formal,understated,dark,3,2,3,1
"workwear that fits my aesthetic, I dress like I listen to indie music not corporate",office,semi-formal,no_constraint,dark,2,2,2,1
"beach to bar outfit for a summer holiday, minimal effort maximum looks",casual,casual,no_constraint,bright,0,0,2,0
"date afternoon at a farmer's market, relaxed and feminine, no trying too hard",date,casual,understated,soft,1,0,3,3
party look that works in both freezing cold outside and sweaty hot club inside,party,casual,no_constraint,dark,3,0,2,1
"wedding guest dress code says smart casual, what does that even mean help",wedding,semi-formal,understated,neutral,4,2,3,2
"street style fall look, layered and intentional, not messy layering",casual,casual,bold,neutral,0,0,0,2
office look that doesn't make me feel like I'm wearing a costume,office,formal,no_constraint,neutral,2,1,2,2
something to wear to a Halloween party that isn't a lazy costume,party,casual,bold,dark,3,0,0,1
"dinner date outfit, he's taking me somewhere nice but I don't know where",date,semi-formal,no_constraint,neutral,1,2,2,2
winter wedding guest look that's warm but still dressy enough,wedding,formal,understated,dark,4,1,3,1
what do I wear to a Beyoncé concert that's a full fit not just a tee,party,casual,bold,bright,3,0,0,0
"hyper-feminine date night look, very Sofia Richie but younger and more fun",date,semi-formal,understated,soft,1,2,3,3
something to wear to a Korean BBQ date that won't smell like smoke but also cute,date,casual,no_constraint,bright,1,0,2,0
Christmas party work outfit that's festive but professional not tacky,office,semi-formal,no_constraint,bright,2,2,2,0
"going to a brunch hen party, pastels and fun but still grown up",party,casual,no_constraint,soft,3,0,2,3
cute travel outfit for a long haul flight that still looks put together on arrival,casual,casual,understated,neutral,0,0,3,2
something edgy to wear to a punk-inspired exhibition,casual,casual,bold,dark,0,0,0,1
"spring date walk in the park, light and breezy, no mini skirt it's cold",date,casual,understated,soft,1,0,3,3
"outdoor summer wedding dress code tropical smart, what does that mean",wedding,semi-formal,bold,bright,4,2,0,0
what to wear to a work conference when you want to be remembered,office,formal,bold,neutral,2,1,0,2
"night out in London, effortlessly cool, not trendy in an obvious way",party,semi-formal,understated,dark,3,2,3,1
cute at-home loungewear that looks intentional not lazy,casual,casual,understated,soft,0,0,3,3
"something to wear to watch the rugby with his friends, casual but still pretty",casual,casual,no_constraint,neutral,0,0,2,2
