prompt,occasion,formality,constraint,color_tone,occasion_soft,formality_soft,constraint_soft,color_tone_soft,split,source
"going to my ex's wedding as a guest, need to look stunning but not try-hard",wedding,semi-formal,understated,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
y2k party outfit that screams early 2000s vibes but make it fashion,party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"first date at a rooftop bar, cool but effortless not trying too hard",date,semi-formal,no_constraint,neutral,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
something to wear to a rave that's also an outfit and not just a bra,party,casual,bold,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
capsule wardrobe for a girl who wears all black everything,casual,casual,understated,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
garden party guest dress that isn't giving mother of the bride,party,semi-formal,no_constraint,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"soft launch date outfit, coffee shop, don't wanna look like I tried",date,casual,understated,neutral,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"something to wear clubbing in Berlin, no dress code, anything goes",party,casual,bold,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
going out top for a bachelorette party that's fun but not embarrassing in photos,party,casual,no_constraint,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"date night at a fancy restaurant, classic and chic, no crop tops",date,semi-formal,understated,neutral,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
quiet luxury office looks that say I'm very senior without saying it,office,semi-formal,understated,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
something to wear to a music festival that's actually practical,party,casual,no_constraint,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
coastal grandmother vibes but make it wearable for a 23 year old,casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"date fit for a guy who takes you to an art gallery, very that girl",date,semi-formal,understated,neutral,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
bridesmaid dress that doesn't look like a bridesmaid dress,wedding,formal,no_constraint,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
office party outfit you can wear from desk to drinks,office,semi-formal,no_constraint,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"going to a themed 70s disco party, need full outfit not just vibes",party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"something cute to wear to my boyfriend's family dinner, sweet but not basic",date,semi-formal,understated,soft,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"summer wedding guest in the middle of a heat wave, midi length please",wedding,semi-formal,understated,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"going to a friend's birthday dinner at a trendy restaurant, something Instagram worthy",party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"daytime casual look for hanging with friends, comfy but make it fashion",casual,casual,no_constraint,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
hot girl walk outfit that's actually warm because it's winter,casual,casual,bold,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"anniversary dinner outfit, romantic and feminine, little black dress alternative",date,formal,no_constraint,dark,"{""date"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
what to wear to a black tie wedding as a guest if I hate formal dresses,wedding,formal,bold,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"presentation day work outfit, need to feel powerful and confident",office,formal,bold,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"grunge aesthetic going out fit for a dive bar, not a costume just vibes",party,casual,bold,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"picnic date look, cottagecore light but still cute if we end up somewhere nice",date,casual,no_constraint,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"sister's baby shower outfit, sweet and put together, not too much",party,semi-formal,understated,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
fall casual OOTD that's basically a cozy hug you can wear outside,casual,casual,understated,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
New Year's Eve party dress that's timeless not costume-y,party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
casual Sunday look for brunch that still looks like I have my life together,casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"first date to a bowling alley, cute but can actually move around",date,casual,no_constraint,bright,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"spring wedding guest dress, floral but not in a basic way",wedding,semi-formal,no_constraint,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
