prompt,occasion,formality,constraint,color_tone
"going to my ex's wedding as a guest, need to look stunning but not try-hard",wedding,semi-formal,understated,soft
"y2k party outfit that screams early 2000s vibes but make it fashion",party,casual,bold,bright
"new job first week fits, corporate girlie era but still me",office,semi-formal,formal,neutral
"first date at a rooftop bar, cool but effortless not trying too hard",date,semi-formal,no_constraint,neutral
"something to wear to a rave that's also an outfit and not just a bra",party,casual,bold,dark
"capsule wardrobe for a girl who wears all black everything",casual,casual,understated,dark
"garden party guest dress that isn't giving mother of the bride",party,semi-formal,no_constraint,soft
"soft launch date outfit, coffee shop, don't wanna look like I tried",date,casual,understated,neutral
"something to wear clubbing in Berlin, no dress code, anything goes",party,casual,bold,dark
"office summer outfit that's still professional but won't die in the heat",office,semi-formal,formal,soft
"wedding guest look that won't upstage the bride but still looks amazing",wedding,semi-formal,formal,soft
"going out top for a bachelorette party that's fun but not embarrassing in photos",party,casual,no_constraint,bright
"date night at a fancy restaurant, classic and chic, no crop tops",date,semi-formal,understated,neutral
"quiet luxury office looks that say I'm very senior without saying it",office,semi-formal,understated,neutral
"something to wear to a music festival that's actually practical",party,casual,no_constraint,bright
"coastal grandmother vibes but make it wearable for a 23 year old",casual,casual,understated,soft
"date fit for a guy who takes you to an art gallery, very that girl",date,semi-formal,understated,neutral
"bridesmaid dress that doesn't look like a bridesmaid dress",wedding,formal,no_constraint,soft
"office party outfit you can wear from desk to drinks",office,semi-formal,no_constraint,neutral
"going to a themed 70s disco party, need full outfit not just vibes",party,casual,bold,bright
"something cute to wear to my boyfriend's family dinner, sweet but not basic",date,semi-formal,understated,soft
"back to office fall look that doesn't make me look like a LinkedIn post",office,formal,formal,dark
"summer wedding guest in the middle of a heat wave, midi length please",wedding,semi-formal,understated,bright
"going to a friend's birthday dinner at a trendy restaurant, something Instagram worthy",party,semi-formal,bold,bright
"daytime casual look for hanging with friends, comfy but make it fashion",casual,casual,no_constraint,neutral
"hot girl walk outfit that's actually warm because it's winter",casual,casual,bold,dark
"anniversary dinner outfit, romantic and feminine, little black dress alternative",date,formal,no_constraint,dark
"what to wear to a black tie wedding as a guest if I hate formal dresses",wedding,formal,bold,dark
"presentation day work outfit, need to feel powerful and confident",office,formal,bold,neutral
"grunge aesthetic going out fit for a dive bar, not a costume just vibes",party,casual,bold,dark
"picnic date look, cottagecore light but still cute if we end up somewhere nice",date,casual,no_constraint,soft
"sister's baby shower outfit, sweet and put together, not too much",party,semi-formal,understated,soft
"fall casual OOTD that's basically a cozy hug you can wear outside",casual,casual,understated,neutral
"office look inspired by The Row but on a realistic budget",office,formal,formal,neutral
"New Year's Eve party dress that's timeless not costume-y",party,semi-formal,bold,bright
"casual Sunday look for brunch that still looks like I have my life together",casual,casual,understated,soft
"first date to a bowling alley, cute but can actually move around",date,casual,no_constraint,bright
"spring wedding guest dress, floral but not in a basic way",wedding,semi-formal,no_constraint,soft
"editorial going out look, something a fashion girl would wear not just anyone",party,semi-formal,bold,dark
"work from home outfits that still make me feel like I'm not giving up on myself",office,casual,understated,soft
"something to wear to an outdoor concert, not muddy, not boring",casual,casual,bold,bright
"what to wear to a rooftop wedding with a dress code of garden chic",wedding,semi-formal,no_constraint,bright
"third date energy, we're going to a jazz bar, sophisticated but fun",date,semi-formal,no_constraint,dark
"birthday going out outfit, it's my birthday and I want to look iconic",party,semi-formal,bold,bright
"something to wear to a gallery opening that doesn't scream art hoe but appreciates it",party,semi-formal,understated,dark
"workwear that fits my aesthetic, I dress like I listen to indie music not corporate",office,semi-formal,no_constraint,dark
