product_id,title,price,image_url,url
1,Blue Mid Rise Bootcut Pants,₹849,https://assets.newme.asia/wp-content/uploads/2026/04/21130251db818835/NM-PRC-345-TRS-26-MAR-32381-BLUE(0).webp,https://newme.asia/product/blue-mid-rise-bootcut-pants
2,Off White Striped Maxi Dress,₹999,https://assets.newme.asia/wp-content/uploads/2026/03/1715592685b4dd97/NM-PRC-178-DRS-26-MAR-31596-OFFWHITE(1).webp,https://newme.asia/product/off-white-striped-maxi-dress
3,White Polka Dot One Shoulder Top,₹549,https://assets.newme.asia/wp-content/uploads/2026/03/1814131481d17570/NM-PRC-391-BLS-26-MAR-31666-WHITE(1).webp,https://newme.asia/product/white-polka-dot-one-shoulder-top
4,Red Draped Detail Mini Dress,₹749,https://assets.newme.asia/wp-content/uploads/2025/05/171834445a6b7ead/NM-IN-56-DRS-24-DEC-13851-DARKBROWN(1)_c.webp,https://newme.asia/product/red-draped-detail-mini-dress
5,Black Floral V-Neck Mini Dress,₹1149,https://assets.newme.asia/wp-content/uploads/2025/12/20141302005069d8/NM-PRC-385-DRS-25-DEC-28872-BLACK(1).webp,https://newme.asia/product/black-floral-v-neck-mini-dress-4
6,Maroon One Shoulder Ruched Maxi Dress,₹729,https://assets.newme.asia/wp-content/uploads/2026/01/14125603a1b4688e/NM-IN-56-DRS-25-JUL-20853-MAROON(1).webp,https://newme.asia/product/maroon-one-shoulder-ruched-maxi-dress
7,Maroon Lace Bodycon Maxi Dress,₹1799,https://assets.newme.asia/wp-content/uploads/2025/11/13165048d0dd9835/NM-PRC-119-DRS-25-NOV-26550-MAROON(1).webp,https://newme.asia/product/maroon-lace-bodycon-maxi-dress
8,Black Pu Slit Bodycon Skirt,₹759,https://assets.newme.asia/wp-content/uploads/2025/11/14143607fdad3cdf/NM-PRC-356-SKT-25-NOV-26617-BLACK(1).webp,https://newme.asia/product/black-pu-slit-bodycon-skirt
9,Yellow Floral A-Line Maxi Dress,₹1099,https://assets.newme.asia/wp-content/uploads/2026/04/021348591258e001/NM-PRC-414-DRS-26-APR-32495-YELLOW(1).webp,https://newme.asia/product/yellow-floral-a-line-maxi-dress
10,Brown Solid V-Neck Top,₹849,https://assets.newme.asia/wp-content/uploads/2026/03/161047038e85156d/NM-PRC-312-BLS-26-JAN-30706-BROWN(1).webp,https://newme.asia/product/brown-solid-v-neck-top-4
11,Maroon Embellished Off Shoulder Dress,₹1529,https://assets.newme.asia/wp-content/uploads/2025/07/21171726a657059d/NM-IN-56-DRS-24-SEP-9134-MAROON(1).webp,https://newme.asia/product/maroon-embellished-off-shoulder-dress-2
12,Black Solid One Shoulder Top,₹429,https://assets.newme.asia/wp-content/uploads/2026/01/141248540d8de836/NM-IN-56-BLS-25-OCT-25336-BLACK(1).webp,https://newme.asia/product/black-solid-one-shoulder-top-11
13,Maroon Solid Slit Bodycon Midi Dress,₹639,https://assets.newme.asia/wp-content/uploads/2026/05/09102408177a07d0/NM-IN-56-DRS-24-APR-5058-MAROON(0).webp,https://newme.asia/product/maroon-solid-slit-bodycon-midi-dress
14,Red Solid Fitted Maxi Dress,₹999,https://assets.newme.asia/wp-content/uploads/2026/01/291024165d8aab25/NM-IN-56-DRS-24-APR-4656-RED(0).webp,https://newme.asia/product/red-solid-fitted-maxi-dress
15,Yellow Floral A-Line Mini Dress,₹949,https://assets.newme.asia/wp-content/uploads/2025/11/131655005644e8cd/NM-PRC-385-DRS-25-NOV-26608-YELLOW(1).webp,https://newme.asia/product/yellow-floral-a-line-mini-dress
16,Red One Shoulder Ruched Dress,₹569,https://assets.newme.asia/wp-content/uploads/2026/05/09102331e3473fe4/NM-IN-56-DRS-24-APR-5058-RED(0).webp,https://newme.asia/product/red-one-shoulder-ruched-dress
17,Dark Grey Mid Rise Wide Led Jeans,₹999,https://assets.newme.asia/wp-content/uploads/2025/07/23203052e771e235/NM-IN-56-JNS-25-MAR-12870-DARKGREY_(1).webp,https://newme.asia/product/dark-grey-mid-rise-wide-led-jeans
18,Beige Sweetheart Mermaid Maxi Dress,₹2449,https://assets.newme.asia/wp-content/uploads/2026/05/051023160e2d23d0/NM-PRC-193-DRS-25-JUN-19585-BEIGE(1).webp,https://newme.asia/product/beige-sweetheart-mermaid-maxi-dress
19,Brown High-Rise Bootcut Trousers,₹769,https://assets.newme.asia/wp-content/uploads/2026/01/02152853c098b756/NM-PRC-345-TRS-26-JAN-29630-BROWN(1).webp,https://newme.asia/product/brown-high-rise-bootcut-trousers
20,White Solid Halter Neck Top,₹499,https://assets.newme.asia/wp-content/uploads/2026/01/14124842c88ef024/NM-IN-56-BLS-25-AUG-23572-WHITE(1).webp,https://newme.asia/product/white-solid-halter-neck-top-29
21,Maroon Ribbed Mock Neck Mini Dress,₹999,https://assets.newme.asia/wp-content/uploads/2025/05/281153347feec5a0/NM-PRC-3-DRS-24-DEC-13637-MAROON(1).webp,https://newme.asia/product/maroon-ribbed-mock-neck-mini-dress
22,Off White Solid Halter Neck Mini Dress,₹1189,https://assets.newme.asia/wp-content/uploads/2026/01/221106333ae599da/NM-IN-56-DRS-25-DEC-27775-OFFWHITE(1).webp,https://newme.asia/product/off-white-solid-halter-neck-mini-dress-2
